Recipient Parent Name,Recipient Parent Duns,Top Words From Serv Desc,Number Of Prime Awards,Current Total Value Of Awards Usd,Potential Total Value Of Awards Usd,Remaining Total Value Of Awards Usd,Award Id Piids,First Contract Start Date,Last Contract End Date,Recipient Address Line 1,Recipient Address Line 2,Recipient City Name,Recipient State Code,Recipient State Name,Recipient Zip 4 Code,Recipient Congressional District,Recipient Phone Number,Recipient Fax Number,Analysis Date,Raw Data Download Date
CARAHSOFT TECHNOLOGY CORPORATION,088365767,"information, technology, software, adp, components",18,516.52 K,823.75 K,307230.00000000006,"70CTD018FR0000189, HSCETE17F00031, HSCETE17F00033, 70CMSD18FR0000146, HSCETE17F00020, HSCETE15F00037, HSCETE17F00017, HSCETC16J00003, HSCETE17J00316, HSCETE16J00239, HSCETE16P00019, HSCETE16F00020, HSCETE16F00018, HSCEMR14J00005, HSCETE12P00012, HSCETE11F00108, HSCETE11F00032, HSCETE10F00017",2011-04-21,2019-09-29,"1860 MICHAEL FARADAY DR, SUITE 100",,RESTON,VA,VIRGINIA,201905328,11,7038718500,7038718505,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
IMMIXGROUP  INC.,159803972,"adp, software, components, training, information",20,512.89 K,512.89 K,0.0,"HSCETE14J00357, HSCETC13F00029, HSCETE14J00213, HSCETE14J00137, HSCETE14P00009, HSCETE14F00036, HSCETE12J00218, HSCETE11F00086, HSCETE11F00061, HSCETE11F00007, HSCETE10F00028, HSCETE08F00021, HSCETE10F00005, HSCETE09F00004, HSCEMD10F00081, HSCENV09F00053, HSCETE08F00052, HSCETE08F00010, HSCEOP07F01392, HSCEOP07F00309",2010-10-20,2018-09-22,8444 WESTPARK DR STE 200,,MCLEAN,VA,VIRGINIA,221025112,11,7037520640,7037520613,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
KDH DEFENSE SYSTEMS INC,142984124.0,"armor,, personal, hardware,, weapon, system",7,512.68 K,512.68 K,0.0,"HSCEMD17P00112, HSCEMD17P00097, HSCEMS16P00067, HSCEMS16P00050, HSCEMS16P00017, HSCEMS15P00043, HSCEMS14P00018",2014-10-09,2017-12-14,750 FIELDCREST RD,,EDEN,NC,NORTH CAROLINA,272883631,06,3366354158,3366354160,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
LRP PUBLICATIONS  INC.,85698900.0,"telecom, web, based, subscription, newspapers",11,508.37 K,605.79 K,97417.0,"70CMSD18FR0000039, 70CMSW18FR0000004, HSCEMR16F00064, HSCEMD15F00038, HSCEMS14F00032, HSCEMR13F00032, HSCEMR12F00089, HSCEMS12F00029, HSCEMD10P00125, HSCEMD09F00033, HSCEMD08F00033",2011-04-27,2021-04-14,360 HIATT DR,,PALM BEACH GARDENS,FL,FLORIDA,334187106,18,2157840941,2157849639,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
KONICA MINOLTA HOLDINGS  INC.,690552815.0,"equipment, printing,, duplicating,, bookbinding, office",128,507.40 K,629.75 K,122355.76000000001,"HSCEMD17F00166, HSCEMD17F00086, HSCEMD17F00107, HSCEMD17F00082, HSCEMD17F00044, HSCEMD16F00124, HSCEMD15F00039, HSCEMD16F00057, 70CMSD18FR0000046, HSCEMD16F00056, 70CMSD18FR0000061, 70CMSD18FR0000031, HSCEMD16F00029, 70CMSD18FR0000027, HSCEMD14F00003, HSCEMD17F00255, HSCEMD17F00062, HSCEMD17F00212, HSCEMD17F00208, HSCEMD17F00103, 70CMSD18FR0000128, HSCEMD17F00199, HSCEMD17F00182, HSCEMD17F00181, HSCEMD17F00173, HSCEMD15F00124, HSCEMD17F00160, HSCEMD17F00105, HSCEMD17F00059, HSCEMD17F00057, HSCEMD17F00048, HSCEMD17F00042, HSCEMD17F00040, HSCEMD17F00051, HSCEMD17F00033, HSCEDM13F00021, HSCEMD17F00034, HSCEMD17F00029, HSCEMD17F00024, HSCEMD17F00021, 70CMSD18FR0000019, HSCEMD17F00009, HSCEMD17F00003, HSCEMD16F00118, HSCEMR12F00069, HSCEMD16F00116, HSCEDM12J00065, HSCEMD17F00095, HSCEMD16F00106, HSCEMD16F00111, HSCEMD16F00095, HSCEMD16F00093, HSCEMD16F00092, HSCEMD17F00164, HSCEMD16F00076, HSCEMD16F00051, HSCEMD16F00063, HSCEMD16F00059, HSCEMD16F00049, HSCEMD16F00047, HSCEMD16F00048, HSCEMD16F00053, HSCEMD16F00052, HSCEMD16F00030, HSCEMD16F00001, HSCEMD16F00013, HSCEMD15F00076, HSCEMD15F00070, HSCEMD15F00064, HSCEMD15F00095, HSCEMD15F00091, HSCEMD16F00007, HSCEMD16F00006, HSCEMD15F00057, HSCEMD15F00150, HSCEMD15F00131, HSCEMD15F00069, HSCEMD16F00131, HSCEMD15F00090, HSCEMD15F00112, HSCEMD15F00106, HSCEMD15F00102, HSCEDM12J00067, HSCEMD11J00075, HSCEMD15F00081, HSCEMD15F00083, HSCEMD15F00101, HSCEMD15F00087, HSCEMD15F00044, HSCEMD15F00032, HSCEMD15F00019, HSCEMD13F00108, HSCEMD15F00020, HSCEDM13F00033, HSCEDM13F00024, HSCEMD12J00025, HSCEMD11J00146, HSCEMD12J00088, HSCEMD12J00022, HSCEMD12J00058, HSCEMD11J00186, HSCEMD12J00051, HSCEMD14F00101, HSCEMD14F00135, HSCEMD14F00144, HSCEMD14F00131, HSCEMD14F00117, HSCEMD14F00083, HSCEMD14F00093, HSCEMD14F00078, HSCEMD14F00079, HSCEMD14F00071, HSCEMD14F00050, HSCEMD14F00035, HSCEMD14F00034, HSCEMD09P00056, HSCEMD12J00066, HSCEOP07P00149, HSCEMD12J00009, HSCEMD11J00178, HSCEMD09F00011, HSCECR11J00010, HSCEMD09P00080, HSCENV08P00059, HSCECR10F00001, HSCEMD09P00039, HSCEMD09F00007, HSCECR08P00052",2011-01-21,2022-09-11,1595 SPRING HILL RD STE 400,,VIENNA,VA,VIRGINIA,221822228,11,7037603551,7035061257,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ML CLICK MARKETING LLC,12480808.0,"men's, underwear, nightwear,, footwear,, clothing,",36,504.15 K,504.15 K,0.0,"70CDCR18FR0000099, 70CDCR18FR0000146, 70CDCR18P00000159, 70CDCR18FR0000102, 70CDCR18FR0000103, 70CDCR18FR0000097, 70CDCR18P00000122, 70CDCR18FR0000054, 70CDCR18FR0000053, 70CDCR18FR0000050, 70CDCR18P00000049, 70CDCR18FR0000025, 70CDCR18FR0000013, HSCEDM17P00101, HSCEDM17F00082, HSCEDM17F00083, HSCEDM17P00057, HSCEDM17P00046, HSCEDM17F00037, HSCEDM17F00032, HSCEDM17F00031, HSCEDM17F00012, HSCEDM16P00125, HSCEDM16P00119, HSCEDM16F00059, HSCEDM16F00049, HSCEDM16F00047, HSCEDM16P00085, HSCEDM16F00017, HSCEDM16F00016, HSCEDM16P00023, HSCEDM15F00028, HSCEDM15F00093, HSCEDM15F00081, HSCEDM15F00035, HSCEDM15F00024",2015-03-10,2019-07-29,20860 N. TATUM BLVD SUITE 300,,PHOENIX,AZ,ARIZONA,850504283,06,6023154713,6237382009,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SHINE ENTERPRISES  LLC,808354448.0,"telecom, telecommunications",3,501.53 K,559.90 K,58366.44,"70CMSD18FC0000078, HSCEMD16F00150, HSCEMD16A00003",2017-06-01,2019-03-29,1 MORTON DR STE 100,,CHARLOTTESVILLE,VA,VIRGINIA,229036806,05,4344224220,4344224221,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
INNOVATIVE FEDERAL OPERATIONS GROUP  L.L.C.,829402309,"support, administrative:, courier, messenger",1,501.03 K,501.03 K,0.0,HSCEDM14C00002,2018-11-28,2019-07-31,640 E VISTA WAY STE B,,VISTA,CA,CALIFORNIA,920845535,49,8003148902,8884158297,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
THORN,080685049,"information, technology, software",1,500.00 K,500.00 K,0.0,70CMSD18P00000175,2018-09-05,2019-09-28,10960 WILSHIRE BLVD STE 1900,,LOS ANGELES,CA,CALIFORNIA,900243805,33,3105972676,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
THE KEYW HOLDING CORPORATION,961665820,"communications, security, equipment, components, computer",3,497.05 K,497.05 K,0.0,"HSCEMD16P00035, HSCEMD11P00119, HSCEMD11P00097",2016-05-20,2016-08-15,7740 MILESTONE PKWY STE 400,,HANOVER,MD,MARYLAND,210763153,02,4437331600,4437331601,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TRAINING CONNECTION  INC.  THE,960380806,"education, training",5,496.66 K,837.19 K,340529.98,"70CMSW18FR0000092, HSCEMR14F00033, HSCEMR13F00037, HSCEMR12F00078, HSCEMD08F00138",2012-12-13,2022-09-29,4004 GENESEE PL STE 109,,WOODBRIDGE,VA,VIRGINIA,221928305,11,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
FS VETS  LLP,078374272,"information, technology, components, software",10,485.04 K,485.04 K,0.0,"70CMSD18FR0000204, 70CTD018FR0000153, 70CTD018FR0000112, 70CTD018FR0000106, 70CTD018FR0000311, 70CTD018FR0000384, 70CTD018FR0000372, 70CMSD18FR0000193, HSCETE16J00277, HSCETE17J00294",2016-07-21,2020-01-07,6060 HOLLOW TREE CT,,COLORADO SPRINGS,CO,COLORADO,809181436,05,5713187101,7195990270,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
INCIDENT COMMUNICATION SOLUTIONS  LLC,784154895,"telecom, telecommunications, transmission, security, equipment",9,478.25 K,611.31 K,133056.0,"70CMSD18P00000116, HSCEMD16P00075, HSCEMD17F00161, HSCEMD17P00025, HSCEMD16P00044, HSCEMD15P00072, HSCEMD14F00152, HSCEMD13P00140, HSCEMD10F00255",2013-11-21,2021-09-26,218 A LOG CANOE CR,,STEVENSVILLE,MD,MARYLAND,216662111,01,8007194603,4434580117,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GETDATA,015222747,"information, technology, software",1,476.60 K,476.60 K,0.0,70CMSD18P00000155,2018-08-27,2019-09-29,14 VILLAGE CIR,,MANHATTAN BEACH,CA,CALIFORNIA,902667219,33,4243526614,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
RED CARROT INC,31689583.0,"support, management:, advertising",6,473.53 K,21.47 M,21000000.0,"70CMSW18FC0000125, 70CMSW18FC0000128, 70CMSD18FC0000088, HSCEMS17J00197, 70CMSW18FC0000036, HSCEMS17A00004",2018-03-08,2019-09-23,520 BRICKELL KEY DRIVE SUITE O208,,MIAMI,FL,FLORIDA,331312619.0,27,3055048769.0,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CRESSTON COMPANY LLC  THE,125535182,"support, administrative:, translation, interpreting",2,471.56 K,855.56 K,384000.00000000006,"HSCEDM15F00032, HSCEMD10J00149",2014-06-26,2017-10-11,147 OLD SOLOMONS ISLAND RD STE 302,,ANNAPOLIS,MD,MARYLAND,214013838,03,4104514297,4437820215,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
STAMPS.COM INC.,010521297,"equipment, lease, rental, office, machines,",1,467.14 K,651.29 K,184152.0,HSCETE15F00075,2018-09-25,2021-03-24,1990 E GRAND AVE,,EL SEGUNDO,CA,CALIFORNIA,902455013,33,3104825858,3104825850,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CDW CORPORATION,808068253,"information, technology, software, video, recording",4,466.75 K,466.75 K,0.0,"HSCETE17F00053, 70CMSD18P00000164, 70CMSD18P00000102, 70CTD018P00000022",2018-06-27,2019-01-28,230 N MILWAUKEE AVE,,VERNON HILLS,IL,ILLINOIS,600611577,10,3127051889,8473712167,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
KAPSUUN GROUP  LLC,079539589,"training, education, curriculum, development",1,458.67 K,2.36 M,1902723.4,70CMSW18P00000015,2018-03-22,2023-02-25,10505 FURNACE RD STE 205,,LORTON,VA,VIRGINIA,220792636,08,7034939880,7034939881,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PG PUBLIC SERVICES  LLC,133661020,"telecom, strategy, architecture",2,454.73 K,483.89 K,29156.449999999953,"HSCETC15F00021, HSCETC15A00005",2017-08-02,2018-03-28,1015 1/2 7TH ST NW FL 2,,WASHINGTON,DC,DISTRICT OF COLUMBIA,200013607,00,7039630975,7033107849,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
MIGRANT CLINICIANS NETWORK INC,826662421,"medical, general, health, care",3,453.95 K,453.95 K,0.0,"HSCECR15J00003, HSCECR13J00008, HSCECR12A00007",2015-08-17,2017-12-17,1001 LAND CREEK CV,,AUSTIN,TX,TEXAS,787466827,25,5123272017,5123270719,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
MACK  PAT V,963846097.0,"telecom, telecommunications",3,453.51 K,5.23 M,4772624.600000001,"70CMSD18FC0000081, HSCEMD16F00149, HSCEMD16A00002",2018-03-15,2019-03-29,"2305 HISTORIC DECATUR ROAD, SUITE 100",,SAN DIEGO,CA,CALIFORNIA,921066071,52,7076225728,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GLOCK PRIVATSTIFTUNG,648551240.0,"guns,, 30mm, ammunition,, assemblies, interchangeable",20,442.47 K,442.47 K,0.0,"70CMSW18FC0000140, HSCEMS17P00082, HSCEMS17P00055, HSCEMS17J00050, HSCEMS17P00020, HSCEMS17J00033, HSCEMS17J00009, HSCEMS16J00085, HSCEMR16J00006, HSCEMS16J00005, HSCEMS15J00116, HSCEMS13J00095, HSCEMD13P00106, HSCEMS13J00071, HSCEMS13F00020, HSCEMS13F00013, HSCEMS12J00044, HSCEMS11F00081, HSCEMS17A00006, HSCEMS12A00006",2011-09-15,2018-10-12,6000 HIGHLANDS PKWY SE,,SMYRNA,GA,GEORGIA,300827204,13,7703194763,6783031054,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ELECTRONIC WARFARE ASSOCIATES  INC.,086352689,"communications, security, equipment, components",2,442.45 K,442.45 K,0.0,"HSCEMD17P00117, HSCEMD16P00018",2016-04-19,2018-06-30,13873 PARK CENTER RD STE 500,,HERNDON,VA,VIRGINIA,201713251,10,7039045048,7039045779,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
NETCLEAN TECHNOLOGIES SWEDEN AB,350663899.0,"software, information, technology, telecom, services",7,440.00 K,1.21 M,769000.0,"70CMSD18P00000101, 70CMSD18P00000111, 70CTD018P00000011, HSCETE17P00024, HSCETE16P00033, HSCETC16C00001, HSCETC13C00005",2013-09-27,2022-08-05,"FORSTA LANGGATAN 30, PLAN 1",,GOTEBORG,,,41327,,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
JDG ASSOCIATES  INC.,624408167,"support, professional:, human, resources",8,438.01 K,438.01 K,0.0,"70CMSW18FC0000005, HSCEMS16F00036, HSCEMS15F00046, HSCEMS16F00004, HSCEMS15F00017, HSCEMS15J00115, HSCEMS15F00011, HSCEMS13A00017",2016-02-02,2018-09-24,27 SCENIC LOOP RD,,BOERNE,TX,TEXAS,780068608,21,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ADAPT PHARMA INC,079673287,"drugs, biologicals, replenishable, field, medical",2,435.72 K,435.72 K,0.0,"70CDCR18FR0000153, HSCEMD17F00233",2017-10-26,2018-11-22,100 MATSONFORD RD BLDG 4 STE 201,,RADNOR,PA,PENNSYLVANIA,190874591,07,9493028037,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
IMAGANN CLEANING SERVICE  INC.,027284830,"housekeeping, custodial, janitorial",1,432.77 K,432.77 K,0.0,HSCEMS12C00008,2018-01-29,2017-10-19,2640 LITHONIA INDUSTRIAL BLVD,,LITHONIA,GA,GEORGIA,300587647,04,7704848141,7704841162,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AIR MANAGEMENT SOLUTIONS INC,27287429.0,"qc, test, inspect, miscellaneous, air",3,431.97 K,705.33 K,273359.48,"70CDCR18P00000043, 70CDCR18P00000119, HSCEDM12P00070",2017-12-07,2023-02-28,3840 VILLA RICA LN STE B,,POWDER SPRINGS,GA,GEORGIA,301271511,13,7709439256,7709438361,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
HUBSTREAM  LLC,79254474.0,"telecom, telecommunications, information, technology, software",4,431.00 K,431.00 K,0.0,"70CMSD18P00000171, HSCETC17P00005, HSCEMD17P00076, HSCETE16P00008",2016-08-18,2019-09-09,14725 NE 20TH ST STE D 44,,BELLEVUE,WA,WASHINGTON,980073732,09,4256080712,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PCS ENTERPRISES  INC.,004841107,"support, professional:, program, management",1,430.90 K,516.70 K,85799.97000000003,HSCEMS14F00083,2018-08-30,2019-02-28,3002 MITCHELLVILLE RD,,BOWIE,MD,MARYLAND,207161300,05,2404327045,3012182265,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
COMFORT SUITES HOTEL,198705100.0,"travel, transportation, relocation, lodging, recruitment:",6,428.38 K,2.17 M,1743750.0,"70CDCR18FIGR00225, 70CDCR18FR0000076, HSCEDM14P00101, HSCEDM17J00028, HSCEDM16J00041, HSCEDM16D00002",2016-12-21,2019-09-04,2351 OTAY CENTER DR,,SAN DIEGO,CA,CALIFORNIA,921547640,51,6613733157,6196611776,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"MVP NETWORK CONSULTING, LLC",125236138,"information, technology, central, processing, unit",3,427.29 K,427.29 K,0.0,"70CMSD18P00000197, 70CMSD18P00000198, HSCEMD13P00150",2016-05-20,2018-12-03,1297 HERTEL AVE,,BUFFALO,NY,NEW YORK,142162733,26,7166301701,7166301703,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
HUDSON RIVER PARK TRUST,803838374,"lease, facilities, rental, administrative, service",2,426.06 K,717.68 K,291623.51999999996,"HSCEDM16P00056, HSCEDM08P00147",2013-06-18,2019-06-30,PIER 40 2ND FL 353 WEST ST,,NEW YORK,NY,NEW YORK,100140000,,2126272020,2126272021,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GLOBAL REACH PETROLEUM  LLC,080511443,"travel, transportation, relocation, lodging, recruitment:",2,423.60 K,423.60 K,0.0,"HSCECR17P00014, 70CDCR18P00000001",2017-10-04,2017-10-30,400 W MORSE BLVD STE 220,,WINTER PARK,FL,FLORIDA,327894280,07,5617234223,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ECS FEDERAL  LLC,806026852,"information, technology, software",1,421.72 K,421.72 K,0.0,HSCETC14F00004,2018-02-04,2019-02-03,4050 LEGATO RD STE 700,,FAIRFAX,VA,VIRGINIA,220332897,11,7032469360,7032469331,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CHILD RESCUE COALITION  INC.,070939304,"information, technology, software",1,400.00 K,400.00 K,0.0,HSCETC17P00007,2017-09-27,2018-09-27,4530 CONFERENCE WAY S,,BOCA RATON,FL,FLORIDA,334314489,22,5612131337,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
KALOS  INC.,031414766,"information, technology, support, equipment",2,396.74 K,1.65 M,1254806.43,"70CTD018C00000003, HSCETC13C00003",2018-05-17,2023-05-31,3518 SE 21ST ST STE B,,TOPEKA,KS,KANSAS,666072399,02,7852323606,7852324917,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
360 TOTAL CONCEPT CONSULTING  INC.,081113627,"support, administrative:",1,392.51 K,575.30 K,182789.99999999994,HSCEMS15C00004,2018-12-04,2020-07-31,555 12TH ST STE 1670,,OAKLAND,CA,CALIFORNIA,946073623,13,5108360360,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
UNISTAR-SPARCO COMPUTERS  INC.,959391509,"adp, components, information, technology, software",12,390.35 K,390.35 K,0.0,"HSCETE17J00243, HSCETE14J00223, HSCETE13J00156, HSCETC14J00056, HSCETE17J00110, HSCETE16J00303, HSCETE16J00267, HSCETE15J00178, HSCETE13J00146, HSCETC13J00025, HSCETE11F00178, HSCETE11F00183",2011-09-21,2022-04-28,7089 RYBURN DR,,MILLINGTON,TN,TENNESSEE,380536200,09,9018722272,9018728482,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GO & ZALEZ INC.,957523111,"education, training, lease, rental, recreational",3,384.80 K,1.04 M,660000.0,"HSCEDM17P00080, HSCEDM15P00090, HSCECR12P00060",2016-04-12,2022-07-31,17234 FM 1314 RD,,CONROE,TX,TEXAS,773024850,08,9364948154,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GRAYSHIFT  LLC,081045174,"information, technology, software",1,384.00 K,384.00 K,0.0,70CMSD18P00000181,2018-09-07,2019-09-11,1475 LAKE FOREST LN,,MCDONOUGH,GA,GEORGIA,302535598,03,7703314343,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
EXXACT CORPORATION,788479368,"components, information, technology, communications, security",3,372.20 K,372.20 K,0.0,"HSCEMD17F00163, HSCEMD17F00066, HSCETE16F00026",2016-06-06,2017-12-12,46221 LANDING PKWY,,FREMONT,CA,CALIFORNIA,945386407,17,5102267366,5102267367,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
MANAGEMENT CONCEPTS  INC.,082355652,"training, education, curriculum, development, general",6,368.62 K,3.83 M,3465356.0,"70CMSW18FR0000097, 70CMSW18P00000019, 70CIT018FR0000003, HSCEMS17F00020, HSCEMS16J00024, HSCEMS14F00015",2016-08-30,2023-07-31,8230 LEESBURG PIKE STE 800,,TYSONS CORNER,VA,VIRGINIA,221822641,11,7037909595,7032704033,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
MODEL CONCEPT COMMUNICATIONS  LLC,80747506.0,"training, education, curriculum, development",2,360.86 K,1.59 M,1229982.4,"70CMSD18C00000001, 70CMSW18P00000017",2018-08-06,2023-01-28,12025 NEW DOMINION PKWY APT 204,,RESTON,VA,VIRGINIA,201906265.0,11,7039061176.0,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TECHNOLOGY - MANAGEMENT & INNOVATIVE SOLUTIONS  LLC,135665169,"support, administrative:, information, retrieval",1,352.51 K,908.16 K,555650.67,HSCEMS17C00001,2018-03-15,2022-04-27,12208 WOODLANDS CIR,,DADE CITY,FL,FLORIDA,335258287,12,7578143598,8137934885,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
LT BUSINESS SOLUTIONS  LLC,133297288,"support, professional:, program, management",1,333.47 K,570.27 K,236805.32,HSCEMS16C00003,2018-09-06,2021-09-11,4820 SOUTHPOINT DRIVE,,FREDERICKSBURG,VA,VIRGINIA,224072605,01,5402884767,5406424962,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AT YOUR SERVICE HEATING & COOLING LLC,009557104,"maintenance, penal, facilities, generators, generator",2,330.19 K,330.19 K,0.0,"70CMSW18P00000033, HSCEMS17P00014",2018-04-17,2019-07-15,9226 N 5TH AVE,,PHOENIX,AZ,ARIZONA,850213515,09,6029436318,6029430118,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GREEN IT SYSTEMS GROUP,966572682.0,"information, technology, software, components, adp",5,329.97 K,662.41 K,332445.0,"HSCETE16J00461, HSCETC16J00061, HSCETE16J00491, HSCETE16J00329, HSCETE14J00045",2014-07-15,2021-09-26,1861 WIEHLE AVE STE 125,,RESTON,VA,VIRGINIA,201905251,11,2023273863,8773108761,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CAMBRIDGE INTERNATIONAL SYSTEMS INC.,074343414,"telecom, telecommunications",2,321.78 K,592.28 K,270504.0,"HSCETC16J00016, HSCETC13J00190",2017-01-17,2021-03-20,2300 CLARENDON BLVD STE 705,,ARLINGTON,VA,VIRGINIA,222013394,08,5713198900,7035498803,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
JTF BUSINESS SYSTEMS INC,948396890.0,"equipment, office, maint, repair, rebuild",16,314.40 K,406.55 K,92151.27999999997,"70CMSD18FR0000213, 70CMSD18FR0000089, HSCEMD16F00067, HSCEMD16F00102, 70CMSD18P00000066, HSCEMD15F00094, HSCEMD16P00128, HSCEMD16P00112, HSCEMD13F00154, HSCEMD13F00146, HSCEMD17F00244, 70CMSD18FR0000147, HSCEMD14F00042, HSCEMD16F00099, HSCEMD15F00151, HSCEMD12P00003",2016-10-13,2023-09-29,7370 STEEL MILL DR,,SPRINGFIELD,VA,VIRGINIA,221503600,08,7036582000,7036582001,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
KYOCERA CORPORATION,690557624,"equipment, office, devices, accessories, printing,",50,311.17 K,481.51 K,170339.16000000003,"70CMSD18FR0000127, HSCEMD17F00125, HSCEMD17F00124, 70CMSD18FR0000165, 70CMSD18FR0000145, 70CMSD18FR0000108, 70CMSD18FR0000119, 70CMSD18FR0000009, HSCEMD17F00252, HSCEMD17F00237, 70CMSD18FR0000202, HSCEMD17F00277, 70CMSD18FR0000161, HSCEMD17F00036, HSCEMD17F00017, 70CMSD18FR0000003, HSCEMR12J00006, HSCECR12F00015, HSCECR12F00016, HSCEDM13J00017, HSCEMD15F00048, HSCEMR11F00030, HSCEDM11J00043, HSCEMS11J00061, HSCEMR11F00019, HSCEMD15F00053, HSCEMD15F00054, HSCEDM11J00032, HSCEMD11J00117, HSCEMD15F00063, HSCEMR11F00017, HSCEDM11J00029, HSCEDM11J00039, HSCEDM11J00031, HSCEMD11J00129, HSCEMD11J00115, HSCEMD11J00054, HSCEMD11J00137, HSCEMD11J00170, HSCEMD11J00131, HSCEMD11J00145, HSCEMD11J00173, HSCEMD15F00073, HSCEDM11J00046, HSCEMD11J00032, HSCEDM11J00055, HSCEMD11J00092, HSCECR13F00001, HSCEMD11J00161, HSCEMD11J00197",2012-05-02,2021-07-31,225 SAND RD,,FAIRFIELD,NJ,NEW JERSEY,070041575,11,9734614060,9738824411,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DELANY  SIEGEL  ZORN & ASSOCIATES  INC.,101176097.0,"support, professional:, human, resources, management:",31,306.56 K,306.56 K,0.0,"HSCEMS15J00015, HSCEMS16F00023, HSCEMS15F00034, HSCEMS16F00018, HSCEMS16F00007, HSCEMS15F00013, HSCEMS15F00058, HSCEMS15F00044, HSCEMS15F00023, HSCEOP07FCL0012, HSCEMD08FCL00021, HSCEMD08FCL00018, HSCEOP07FCL0173, HSCEMS08FCL00008, HSCEOP07FCL0006, HSCEOP07FCL0015, HSCEOP07FCL0005, HSCEMS11F00073, HSCEMD11F00010, HSCEMS11F00028, HSCEMD10F00063, HSCEMD10F00120, HSCEMD10F00057, HSCEMD09F00212, HSCEMD09F00207, HSCEMD09F00117, HSCEMD09F00118, HSCEMD08FCL00011, HSCEMS08FCL00003, HSCEOP06A00017, HSCEMS13A00015",2012-08-21,2018-09-24,1501 LEE HIGHWAY STE 205,,ARLINGTON,VA,VIRGINIA,222092012,08,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ZEPHYR AVIATION  LLC,790555457.0,"travel, transportation, relocation, lodging, recruitment:",4,303.75 K,516.40 K,212652.0,"HSCECR17F00005, HSCECR17P00013, HSCECR16F00002, HSCECR14F00024",2017-01-05,2022-05-31,318 LOIS LANE,,MINERAL,VA,VIRGINIA,231174497,07,5408274282,5403698850,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
